from,to
Belkin,Spotify
Belkin,Waze
Belkin,iOS
DualSense,LTE
DualSense,Spotify
DualSense,Waze
DualSense,iOS
LTE,Spotify
LTE,Waze
LTE,iOS
Spotify,Waze
Spotify,iOS
Waze,iOS
Amazon,Amazon Echo
Amazon,Apple
Amazon,Apple Care
Amazon,Apple Music
Amazon,Apple Online Store
Amazon,Cupertino
Amazon,Google
Amazon,HomePod
Amazon,TechCrunch
Amazon Echo,Apple
Amazon Echo,Apple Care
Amazon Echo,Apple Music
Amazon Echo,Apple Online Store
Amazon Echo,Cupertino
Amazon Echo,Google
Amazon Echo,HomePod
Amazon Echo,TechCrunch
Apple,Apple Care
Apple,Apple Music
Apple,Apple Online Store
Apple,Cupertino
Apple,Google
Apple,HomePod
Apple,TechCrunch
Apple Care,Apple Music
Apple Care,Apple Online Store
Apple Care,Cupertino
Apple Care,Google
Apple Care,HomePod
Apple Care,TechCrunch
Apple Music,Apple Online Store
Apple Music,Cupertino
Apple Music,Google
Apple Music,HomePod
Apple Music,TechCrunch
Apple Online Store,Cupertino
Apple Online Store,Google
Apple Online Store,HomePod
Apple Online Store,TechCrunch
Cupertino,Google
Cupertino,HomePod
Cupertino,TechCrunch
Google,HomePod
Google,TechCrunch
HomePod,TechCrunch
Apple,Apple Maps
Apple,Edison Research
Apple,Spotify
Apple Maps,Edison Research
Apple Maps,Spotify
Edison Research,Spotify
AirPods New Kuo,Apple
AirPods New Kuo,Apple Fitness
AirPods New Kuo,Apple Podcasts
AirPods New Kuo,Apple TV
AirPods New Kuo,MingChi Kuo
AirPods New Kuo,Patreon
AirPods New Kuo,Spotify
AirPods New Kuo,Sticher
AirPods New Kuo,Stitcher Premium
Apple,Apple Fitness
Apple,Apple Podcasts
Apple,Apple TV
Apple,MingChi Kuo
Apple,Patreon
Apple,Spotify
Apple,Sticher
Apple,Stitcher Premium
Apple Fitness,Apple Podcasts
Apple Fitness,Apple TV
Apple Fitness,MingChi Kuo
Apple Fitness,Patreon
Apple Fitness,Spotify
Apple Fitness,Sticher
Apple Fitness,Stitcher Premium
Apple Podcasts,Apple TV
Apple Podcasts,MingChi Kuo
Apple Podcasts,Patreon
Apple Podcasts,Spotify
Apple Podcasts,Sticher
Apple Podcasts,Stitcher Premium
Apple TV,MingChi Kuo
Apple TV,Patreon
Apple TV,Spotify
Apple TV,Sticher
Apple TV,Stitcher Premium
MingChi Kuo,Patreon
MingChi Kuo,Spotify
MingChi Kuo,Sticher
MingChi Kuo,Stitcher Premium
Patreon,Spotify
Patreon,Sticher
Patreon,Stitcher Premium
Spotify,Sticher
Spotify,Stitcher Premium
Sticher,Stitcher Premium
AMD,Apple
AMD,AppleInsider
AMD,CSS
AMD,Cornell University
AMD,Samsung
AMD,The 8Bit
Apple,AppleInsider
Apple,CSS
Apple,Cornell University
Apple,Samsung
Apple,The 8Bit
AppleInsider,CSS
AppleInsider,Cornell University
AppleInsider,Samsung
AppleInsider,The 8Bit
CSS,Cornell University
CSS,Samsung
CSS,The 8Bit
Cornell University,Samsung
Cornell University,The 8Bit
Samsung,The 8Bit
AAPL,Apple Inc
AAPL,Atrion Corp
AAPL,BRKA
AAPL,BTC iShares MSCI USA Value Factor ETF
AAPL,Berkshire Hathaway Inc
AAPL,Callaway Golf Co
AAPL,Current Portfolio
AAPL,Delta Air Lines Inc
AAPL,Equal Weight Technology ETF
AAPL,Financial Select Sector SPDR
AAPL,First Trust NASDAQ CEA Cybersecurity ETF
AAPL,Goldman Sachs Group Inc
AAPL,Industrial Select Sector SPDR
AAPL,Invesco BulletShares
AAPL,Invesco SP
AAPL,Laurel Wealth Advisors LLC
AAPL,Leidos Holdings Inc
AAPL,MSFT
AAPL,Microsoft Corp
AAPL,MongoDB Inc
AAPL,PROSHARES TRUST
AAPL,PowerShares FTSE
AAPL,PowerShares FTSE RAFI US
AAPL,Reinsurance Group of America Inc
AAPL,South State Corp
AAPL,VTIP
AAPL,Vanguard ShortTerm InflationProtected Securities
AAPL,Vontier Corp
AAPL,Wells Fargo
AAPL,Wells Fargo  Co
AAPL,Wright Medical Group NV
AAPL,iShares
AAPL,iShares SP Global Clean Energy Index Fund
AAPL,iShares US Technology ETF
Apple Inc,Atrion Corp
Apple Inc,BRKA
Apple Inc,BTC iShares MSCI USA Value Factor ETF
Apple Inc,Berkshire Hathaway Inc
Apple Inc,Callaway Golf Co
Apple Inc,Current Portfolio
Apple Inc,Delta Air Lines Inc
Apple Inc,Equal Weight Technology ETF
Apple Inc,Financial Select Sector SPDR
Apple Inc,First Trust NASDAQ CEA Cybersecurity ETF
Apple Inc,Goldman Sachs Group Inc
Apple Inc,Industrial Select Sector SPDR
Apple Inc,Invesco BulletShares
Apple Inc,Invesco SP
Apple Inc,Laurel Wealth Advisors LLC
Apple Inc,Leidos Holdings Inc
Apple Inc,MSFT
Apple Inc,Microsoft Corp
Apple Inc,MongoDB Inc
Apple Inc,PROSHARES TRUST
Apple Inc,PowerShares FTSE
Apple Inc,PowerShares FTSE RAFI US
Apple Inc,Reinsurance Group of America Inc
Apple Inc,South State Corp
Apple Inc,VTIP
Apple Inc,Vanguard ShortTerm InflationProtected Securities
Apple Inc,Vontier Corp
Apple Inc,Wells Fargo
Apple Inc,Wells Fargo  Co
Apple Inc,Wright Medical Group NV
Apple Inc,iShares
Apple Inc,iShares SP Global Clean Energy Index Fund
Apple Inc,iShares US Technology ETF
Atrion Corp,BRKA
Atrion Corp,BTC iShares MSCI USA Value Factor ETF
Atrion Corp,Berkshire Hathaway Inc
Atrion Corp,Callaway Golf Co
Atrion Corp,Current Portfolio
Atrion Corp,Delta Air Lines Inc
Atrion Corp,Equal Weight Technology ETF
Atrion Corp,Financial Select Sector SPDR
Atrion Corp,First Trust NASDAQ CEA Cybersecurity ETF
Atrion Corp,Goldman Sachs Group Inc
Atrion Corp,Industrial Select Sector SPDR
Atrion Corp,Invesco BulletShares
Atrion Corp,Invesco SP
Atrion Corp,Laurel Wealth Advisors LLC
Atrion Corp,Leidos Holdings Inc
Atrion Corp,MSFT
Atrion Corp,Microsoft Corp
Atrion Corp,MongoDB Inc
Atrion Corp,PROSHARES TRUST
Atrion Corp,PowerShares FTSE
Atrion Corp,PowerShares FTSE RAFI US
Atrion Corp,Reinsurance Group of America Inc
Atrion Corp,South State Corp
Atrion Corp,VTIP
Atrion Corp,Vanguard ShortTerm InflationProtected Securities
Atrion Corp,Vontier Corp
Atrion Corp,Wells Fargo
Atrion Corp,Wells Fargo  Co
Atrion Corp,Wright Medical Group NV
Atrion Corp,iShares
Atrion Corp,iShares SP Global Clean Energy Index Fund
Atrion Corp,iShares US Technology ETF
BRKA,BTC iShares MSCI USA Value Factor ETF
BRKA,Berkshire Hathaway Inc
BRKA,Callaway Golf Co
BRKA,Current Portfolio
BRKA,Delta Air Lines Inc
BRKA,Equal Weight Technology ETF
BRKA,Financial Select Sector SPDR
BRKA,First Trust NASDAQ CEA Cybersecurity ETF
BRKA,Goldman Sachs Group Inc
BRKA,Industrial Select Sector SPDR
BRKA,Invesco BulletShares
BRKA,Invesco SP
BRKA,Laurel Wealth Advisors LLC
BRKA,Leidos Holdings Inc
BRKA,MSFT
BRKA,Microsoft Corp
BRKA,MongoDB Inc
BRKA,PROSHARES TRUST
BRKA,PowerShares FTSE
BRKA,PowerShares FTSE RAFI US
BRKA,Reinsurance Group of America Inc
BRKA,South State Corp
BRKA,VTIP
BRKA,Vanguard ShortTerm InflationProtected Securities
BRKA,Vontier Corp
BRKA,Wells Fargo
BRKA,Wells Fargo  Co
BRKA,Wright Medical Group NV
BRKA,iShares
BRKA,iShares SP Global Clean Energy Index Fund
BRKA,iShares US Technology ETF
BTC iShares MSCI USA Value Factor ETF,Berkshire Hathaway Inc
BTC iShares MSCI USA Value Factor ETF,Callaway Golf Co
BTC iShares MSCI USA Value Factor ETF,Current Portfolio
BTC iShares MSCI USA Value Factor ETF,Delta Air Lines Inc
BTC iShares MSCI USA Value Factor ETF,Equal Weight Technology ETF
BTC iShares MSCI USA Value Factor ETF,Financial Select Sector SPDR
BTC iShares MSCI USA Value Factor ETF,First Trust NASDAQ CEA Cybersecurity ETF
BTC iShares MSCI USA Value Factor ETF,Goldman Sachs Group Inc
BTC iShares MSCI USA Value Factor ETF,Industrial Select Sector SPDR
BTC iShares MSCI USA Value Factor ETF,Invesco BulletShares
BTC iShares MSCI USA Value Factor ETF,Invesco SP
BTC iShares MSCI USA Value Factor ETF,Laurel Wealth Advisors LLC
BTC iShares MSCI USA Value Factor ETF,Leidos Holdings Inc
BTC iShares MSCI USA Value Factor ETF,MSFT
BTC iShares MSCI USA Value Factor ETF,Microsoft Corp
BTC iShares MSCI USA Value Factor ETF,MongoDB Inc
BTC iShares MSCI USA Value Factor ETF,PROSHARES TRUST
BTC iShares MSCI USA Value Factor ETF,PowerShares FTSE
BTC iShares MSCI USA Value Factor ETF,PowerShares FTSE RAFI US
BTC iShares MSCI USA Value Factor ETF,Reinsurance Group of America Inc
BTC iShares MSCI USA Value Factor ETF,South State Corp
BTC iShares MSCI USA Value Factor ETF,VTIP
BTC iShares MSCI USA Value Factor ETF,Vanguard ShortTerm InflationProtected Securities
BTC iShares MSCI USA Value Factor ETF,Vontier Corp
BTC iShares MSCI USA Value Factor ETF,Wells Fargo
BTC iShares MSCI USA Value Factor ETF,Wells Fargo  Co
BTC iShares MSCI USA Value Factor ETF,Wright Medical Group NV
BTC iShares MSCI USA Value Factor ETF,iShares
BTC iShares MSCI USA Value Factor ETF,iShares SP Global Clean Energy Index Fund
BTC iShares MSCI USA Value Factor ETF,iShares US Technology ETF
Berkshire Hathaway Inc,Callaway Golf Co
Berkshire Hathaway Inc,Current Portfolio
Berkshire Hathaway Inc,Delta Air Lines Inc
Berkshire Hathaway Inc,Equal Weight Technology ETF
Berkshire Hathaway Inc,Financial Select Sector SPDR
Berkshire Hathaway Inc,First Trust NASDAQ CEA Cybersecurity ETF
Berkshire Hathaway Inc,Goldman Sachs Group Inc
Berkshire Hathaway Inc,Industrial Select Sector SPDR
Berkshire Hathaway Inc,Invesco BulletShares
Berkshire Hathaway Inc,Invesco SP
Berkshire Hathaway Inc,Laurel Wealth Advisors LLC
Berkshire Hathaway Inc,Leidos Holdings Inc
Berkshire Hathaway Inc,MSFT
Berkshire Hathaway Inc,Microsoft Corp
Berkshire Hathaway Inc,MongoDB Inc
Berkshire Hathaway Inc,PROSHARES TRUST
Berkshire Hathaway Inc,PowerShares FTSE
Berkshire Hathaway Inc,PowerShares FTSE RAFI US
Berkshire Hathaway Inc,Reinsurance Group of America Inc
Berkshire Hathaway Inc,South State Corp
Berkshire Hathaway Inc,VTIP
Berkshire Hathaway Inc,Vanguard ShortTerm InflationProtected Securities
Berkshire Hathaway Inc,Vontier Corp
Berkshire Hathaway Inc,Wells Fargo
Berkshire Hathaway Inc,Wells Fargo  Co
Berkshire Hathaway Inc,Wright Medical Group NV
Berkshire Hathaway Inc,iShares
Berkshire Hathaway Inc,iShares SP Global Clean Energy Index Fund
Berkshire Hathaway Inc,iShares US Technology ETF
Callaway Golf Co,Current Portfolio
Callaway Golf Co,Delta Air Lines Inc
Callaway Golf Co,Equal Weight Technology ETF
Callaway Golf Co,Financial Select Sector SPDR
Callaway Golf Co,First Trust NASDAQ CEA Cybersecurity ETF
Callaway Golf Co,Goldman Sachs Group Inc
Callaway Golf Co,Industrial Select Sector SPDR
Callaway Golf Co,Invesco BulletShares
Callaway Golf Co,Invesco SP
Callaway Golf Co,Laurel Wealth Advisors LLC
Callaway Golf Co,Leidos Holdings Inc
Callaway Golf Co,MSFT
Callaway Golf Co,Microsoft Corp
Callaway Golf Co,MongoDB Inc
Callaway Golf Co,PROSHARES TRUST
Callaway Golf Co,PowerShares FTSE
Callaway Golf Co,PowerShares FTSE RAFI US
Callaway Golf Co,Reinsurance Group of America Inc
Callaway Golf Co,South State Corp
Callaway Golf Co,VTIP
Callaway Golf Co,Vanguard ShortTerm InflationProtected Securities
Callaway Golf Co,Vontier Corp
Callaway Golf Co,Wells Fargo
Callaway Golf Co,Wells Fargo  Co
Callaway Golf Co,Wright Medical Group NV
Callaway Golf Co,iShares
Callaway Golf Co,iShares SP Global Clean Energy Index Fund
Callaway Golf Co,iShares US Technology ETF
Current Portfolio,Delta Air Lines Inc
Current Portfolio,Equal Weight Technology ETF
Current Portfolio,Financial Select Sector SPDR
Current Portfolio,First Trust NASDAQ CEA Cybersecurity ETF
Current Portfolio,Goldman Sachs Group Inc
Current Portfolio,Industrial Select Sector SPDR
Current Portfolio,Invesco BulletShares
Current Portfolio,Invesco SP
Current Portfolio,Laurel Wealth Advisors LLC
Current Portfolio,Leidos Holdings Inc
Current Portfolio,MSFT
Current Portfolio,Microsoft Corp
Current Portfolio,MongoDB Inc
Current Portfolio,PROSHARES TRUST
Current Portfolio,PowerShares FTSE
Current Portfolio,PowerShares FTSE RAFI US
Current Portfolio,Reinsurance Group of America Inc
Current Portfolio,South State Corp
Current Portfolio,VTIP
Current Portfolio,Vanguard ShortTerm InflationProtected Securities
Current Portfolio,Vontier Corp
Current Portfolio,Wells Fargo
Current Portfolio,Wells Fargo  Co
Current Portfolio,Wright Medical Group NV
Current Portfolio,iShares
Current Portfolio,iShares SP Global Clean Energy Index Fund
Current Portfolio,iShares US Technology ETF
Delta Air Lines Inc,Equal Weight Technology ETF
Delta Air Lines Inc,Financial Select Sector SPDR
Delta Air Lines Inc,First Trust NASDAQ CEA Cybersecurity ETF
Delta Air Lines Inc,Goldman Sachs Group Inc
Delta Air Lines Inc,Industrial Select Sector SPDR
Delta Air Lines Inc,Invesco BulletShares
Delta Air Lines Inc,Invesco SP
Delta Air Lines Inc,Laurel Wealth Advisors LLC
Delta Air Lines Inc,Leidos Holdings Inc
Delta Air Lines Inc,MSFT
Delta Air Lines Inc,Microsoft Corp
Delta Air Lines Inc,MongoDB Inc
Delta Air Lines Inc,PROSHARES TRUST
Delta Air Lines Inc,PowerShares FTSE
Delta Air Lines Inc,PowerShares FTSE RAFI US
Delta Air Lines Inc,Reinsurance Group of America Inc
Delta Air Lines Inc,South State Corp
Delta Air Lines Inc,VTIP
Delta Air Lines Inc,Vanguard ShortTerm InflationProtected Securities
Delta Air Lines Inc,Vontier Corp
Delta Air Lines Inc,Wells Fargo
Delta Air Lines Inc,Wells Fargo  Co
Delta Air Lines Inc,Wright Medical Group NV
Delta Air Lines Inc,iShares
Delta Air Lines Inc,iShares SP Global Clean Energy Index Fund
Delta Air Lines Inc,iShares US Technology ETF
Equal Weight Technology ETF,Financial Select Sector SPDR
Equal Weight Technology ETF,First Trust NASDAQ CEA Cybersecurity ETF
Equal Weight Technology ETF,Goldman Sachs Group Inc
Equal Weight Technology ETF,Industrial Select Sector SPDR
Equal Weight Technology ETF,Invesco BulletShares
Equal Weight Technology ETF,Invesco SP
Equal Weight Technology ETF,Laurel Wealth Advisors LLC
Equal Weight Technology ETF,Leidos Holdings Inc
Equal Weight Technology ETF,MSFT
Equal Weight Technology ETF,Microsoft Corp
Equal Weight Technology ETF,MongoDB Inc
Equal Weight Technology ETF,PROSHARES TRUST
Equal Weight Technology ETF,PowerShares FTSE
Equal Weight Technology ETF,PowerShares FTSE RAFI US
Equal Weight Technology ETF,Reinsurance Group of America Inc
Equal Weight Technology ETF,South State Corp
Equal Weight Technology ETF,VTIP
Equal Weight Technology ETF,Vanguard ShortTerm InflationProtected Securities
Equal Weight Technology ETF,Vontier Corp
Equal Weight Technology ETF,Wells Fargo
Equal Weight Technology ETF,Wells Fargo  Co
Equal Weight Technology ETF,Wright Medical Group NV
Equal Weight Technology ETF,iShares
Equal Weight Technology ETF,iShares SP Global Clean Energy Index Fund
Equal Weight Technology ETF,iShares US Technology ETF
Financial Select Sector SPDR,First Trust NASDAQ CEA Cybersecurity ETF
Financial Select Sector SPDR,Goldman Sachs Group Inc
Financial Select Sector SPDR,Industrial Select Sector SPDR
Financial Select Sector SPDR,Invesco BulletShares
Financial Select Sector SPDR,Invesco SP
Financial Select Sector SPDR,Laurel Wealth Advisors LLC
Financial Select Sector SPDR,Leidos Holdings Inc
Financial Select Sector SPDR,MSFT
Financial Select Sector SPDR,Microsoft Corp
Financial Select Sector SPDR,MongoDB Inc
Financial Select Sector SPDR,PROSHARES TRUST
Financial Select Sector SPDR,PowerShares FTSE
Financial Select Sector SPDR,PowerShares FTSE RAFI US
Financial Select Sector SPDR,Reinsurance Group of America Inc
Financial Select Sector SPDR,South State Corp
Financial Select Sector SPDR,VTIP
Financial Select Sector SPDR,Vanguard ShortTerm InflationProtected Securities
Financial Select Sector SPDR,Vontier Corp
Financial Select Sector SPDR,Wells Fargo
Financial Select Sector SPDR,Wells Fargo  Co
Financial Select Sector SPDR,Wright Medical Group NV
Financial Select Sector SPDR,iShares
Financial Select Sector SPDR,iShares SP Global Clean Energy Index Fund
Financial Select Sector SPDR,iShares US Technology ETF
First Trust NASDAQ CEA Cybersecurity ETF,Goldman Sachs Group Inc
First Trust NASDAQ CEA Cybersecurity ETF,Industrial Select Sector SPDR
First Trust NASDAQ CEA Cybersecurity ETF,Invesco BulletShares
First Trust NASDAQ CEA Cybersecurity ETF,Invesco SP
First Trust NASDAQ CEA Cybersecurity ETF,Laurel Wealth Advisors LLC
First Trust NASDAQ CEA Cybersecurity ETF,Leidos Holdings Inc
First Trust NASDAQ CEA Cybersecurity ETF,MSFT
First Trust NASDAQ CEA Cybersecurity ETF,Microsoft Corp
First Trust NASDAQ CEA Cybersecurity ETF,MongoDB Inc
First Trust NASDAQ CEA Cybersecurity ETF,PROSHARES TRUST
First Trust NASDAQ CEA Cybersecurity ETF,PowerShares FTSE
First Trust NASDAQ CEA Cybersecurity ETF,PowerShares FTSE RAFI US
First Trust NASDAQ CEA Cybersecurity ETF,Reinsurance Group of America Inc
First Trust NASDAQ CEA Cybersecurity ETF,South State Corp
First Trust NASDAQ CEA Cybersecurity ETF,VTIP
First Trust NASDAQ CEA Cybersecurity ETF,Vanguard ShortTerm InflationProtected Securities
First Trust NASDAQ CEA Cybersecurity ETF,Vontier Corp
First Trust NASDAQ CEA Cybersecurity ETF,Wells Fargo
First Trust NASDAQ CEA Cybersecurity ETF,Wells Fargo  Co
First Trust NASDAQ CEA Cybersecurity ETF,Wright Medical Group NV
First Trust NASDAQ CEA Cybersecurity ETF,iShares
First Trust NASDAQ CEA Cybersecurity ETF,iShares SP Global Clean Energy Index Fund
First Trust NASDAQ CEA Cybersecurity ETF,iShares US Technology ETF
Goldman Sachs Group Inc,Industrial Select Sector SPDR
Goldman Sachs Group Inc,Invesco BulletShares
Goldman Sachs Group Inc,Invesco SP
Goldman Sachs Group Inc,Laurel Wealth Advisors LLC
Goldman Sachs Group Inc,Leidos Holdings Inc
Goldman Sachs Group Inc,MSFT
Goldman Sachs Group Inc,Microsoft Corp
Goldman Sachs Group Inc,MongoDB Inc
Goldman Sachs Group Inc,PROSHARES TRUST
Goldman Sachs Group Inc,PowerShares FTSE
Goldman Sachs Group Inc,PowerShares FTSE RAFI US
Goldman Sachs Group Inc,Reinsurance Group of America Inc
Goldman Sachs Group Inc,South State Corp
Goldman Sachs Group Inc,VTIP
Goldman Sachs Group Inc,Vanguard ShortTerm InflationProtected Securities
Goldman Sachs Group Inc,Vontier Corp
Goldman Sachs Group Inc,Wells Fargo
Goldman Sachs Group Inc,Wells Fargo  Co
Goldman Sachs Group Inc,Wright Medical Group NV
Goldman Sachs Group Inc,iShares
Goldman Sachs Group Inc,iShares SP Global Clean Energy Index Fund
Goldman Sachs Group Inc,iShares US Technology ETF
Industrial Select Sector SPDR,Invesco BulletShares
Industrial Select Sector SPDR,Invesco SP
Industrial Select Sector SPDR,Laurel Wealth Advisors LLC
Industrial Select Sector SPDR,Leidos Holdings Inc
Industrial Select Sector SPDR,MSFT
Industrial Select Sector SPDR,Microsoft Corp
Industrial Select Sector SPDR,MongoDB Inc
Industrial Select Sector SPDR,PROSHARES TRUST
Industrial Select Sector SPDR,PowerShares FTSE
Industrial Select Sector SPDR,PowerShares FTSE RAFI US
Industrial Select Sector SPDR,Reinsurance Group of America Inc
Industrial Select Sector SPDR,South State Corp
Industrial Select Sector SPDR,VTIP
Industrial Select Sector SPDR,Vanguard ShortTerm InflationProtected Securities
Industrial Select Sector SPDR,Vontier Corp
Industrial Select Sector SPDR,Wells Fargo
Industrial Select Sector SPDR,Wells Fargo  Co
Industrial Select Sector SPDR,Wright Medical Group NV
Industrial Select Sector SPDR,iShares
Industrial Select Sector SPDR,iShares SP Global Clean Energy Index Fund
Industrial Select Sector SPDR,iShares US Technology ETF
Invesco BulletShares,Invesco SP
Invesco BulletShares,Laurel Wealth Advisors LLC
Invesco BulletShares,Leidos Holdings Inc
Invesco BulletShares,MSFT
Invesco BulletShares,Microsoft Corp
Invesco BulletShares,MongoDB Inc
Invesco BulletShares,PROSHARES TRUST
Invesco BulletShares,PowerShares FTSE
Invesco BulletShares,PowerShares FTSE RAFI US
Invesco BulletShares,Reinsurance Group of America Inc
Invesco BulletShares,South State Corp
Invesco BulletShares,VTIP
Invesco BulletShares,Vanguard ShortTerm InflationProtected Securities
Invesco BulletShares,Vontier Corp
Invesco BulletShares,Wells Fargo
Invesco BulletShares,Wells Fargo  Co
Invesco BulletShares,Wright Medical Group NV
Invesco BulletShares,iShares
Invesco BulletShares,iShares SP Global Clean Energy Index Fund
Invesco BulletShares,iShares US Technology ETF
Invesco SP,Laurel Wealth Advisors LLC
Invesco SP,Leidos Holdings Inc
Invesco SP,MSFT
Invesco SP,Microsoft Corp
Invesco SP,MongoDB Inc
Invesco SP,PROSHARES TRUST
Invesco SP,PowerShares FTSE
Invesco SP,PowerShares FTSE RAFI US
Invesco SP,Reinsurance Group of America Inc
Invesco SP,South State Corp
Invesco SP,VTIP
Invesco SP,Vanguard ShortTerm InflationProtected Securities
Invesco SP,Vontier Corp
Invesco SP,Wells Fargo
Invesco SP,Wells Fargo  Co
Invesco SP,Wright Medical Group NV
Invesco SP,iShares
Invesco SP,iShares SP Global Clean Energy Index Fund
Invesco SP,iShares US Technology ETF
Laurel Wealth Advisors LLC,Leidos Holdings Inc
Laurel Wealth Advisors LLC,MSFT
Laurel Wealth Advisors LLC,Microsoft Corp
Laurel Wealth Advisors LLC,MongoDB Inc
Laurel Wealth Advisors LLC,PROSHARES TRUST
Laurel Wealth Advisors LLC,PowerShares FTSE
Laurel Wealth Advisors LLC,PowerShares FTSE RAFI US
Laurel Wealth Advisors LLC,Reinsurance Group of America Inc
Laurel Wealth Advisors LLC,South State Corp
Laurel Wealth Advisors LLC,VTIP
Laurel Wealth Advisors LLC,Vanguard ShortTerm InflationProtected Securities
Laurel Wealth Advisors LLC,Vontier Corp
Laurel Wealth Advisors LLC,Wells Fargo
Laurel Wealth Advisors LLC,Wells Fargo  Co
Laurel Wealth Advisors LLC,Wright Medical Group NV
Laurel Wealth Advisors LLC,iShares
Laurel Wealth Advisors LLC,iShares SP Global Clean Energy Index Fund
Laurel Wealth Advisors LLC,iShares US Technology ETF
Leidos Holdings Inc,MSFT
Leidos Holdings Inc,Microsoft Corp
Leidos Holdings Inc,MongoDB Inc
Leidos Holdings Inc,PROSHARES TRUST
Leidos Holdings Inc,PowerShares FTSE
Leidos Holdings Inc,PowerShares FTSE RAFI US
Leidos Holdings Inc,Reinsurance Group of America Inc
Leidos Holdings Inc,South State Corp
Leidos Holdings Inc,VTIP
Leidos Holdings Inc,Vanguard ShortTerm InflationProtected Securities
Leidos Holdings Inc,Vontier Corp
Leidos Holdings Inc,Wells Fargo
Leidos Holdings Inc,Wells Fargo  Co
Leidos Holdings Inc,Wright Medical Group NV
Leidos Holdings Inc,iShares
Leidos Holdings Inc,iShares SP Global Clean Energy Index Fund
Leidos Holdings Inc,iShares US Technology ETF
MSFT,Microsoft Corp
MSFT,MongoDB Inc
MSFT,PROSHARES TRUST
MSFT,PowerShares FTSE
MSFT,PowerShares FTSE RAFI US
MSFT,Reinsurance Group of America Inc
MSFT,South State Corp
MSFT,VTIP
MSFT,Vanguard ShortTerm InflationProtected Securities
MSFT,Vontier Corp
MSFT,Wells Fargo
MSFT,Wells Fargo  Co
MSFT,Wright Medical Group NV
MSFT,iShares
MSFT,iShares SP Global Clean Energy Index Fund
MSFT,iShares US Technology ETF
Microsoft Corp,MongoDB Inc
Microsoft Corp,PROSHARES TRUST
Microsoft Corp,PowerShares FTSE
Microsoft Corp,PowerShares FTSE RAFI US
Microsoft Corp,Reinsurance Group of America Inc
Microsoft Corp,South State Corp
Microsoft Corp,VTIP
Microsoft Corp,Vanguard ShortTerm InflationProtected Securities
Microsoft Corp,Vontier Corp
Microsoft Corp,Wells Fargo
Microsoft Corp,Wells Fargo  Co
Microsoft Corp,Wright Medical Group NV
Microsoft Corp,iShares
Microsoft Corp,iShares SP Global Clean Energy Index Fund
Microsoft Corp,iShares US Technology ETF
MongoDB Inc,PROSHARES TRUST
MongoDB Inc,PowerShares FTSE
MongoDB Inc,PowerShares FTSE RAFI US
MongoDB Inc,Reinsurance Group of America Inc
MongoDB Inc,South State Corp
MongoDB Inc,VTIP
MongoDB Inc,Vanguard ShortTerm InflationProtected Securities
MongoDB Inc,Vontier Corp
MongoDB Inc,Wells Fargo
MongoDB Inc,Wells Fargo  Co
MongoDB Inc,Wright Medical Group NV
MongoDB Inc,iShares
MongoDB Inc,iShares SP Global Clean Energy Index Fund
MongoDB Inc,iShares US Technology ETF
PROSHARES TRUST,PowerShares FTSE
PROSHARES TRUST,PowerShares FTSE RAFI US
PROSHARES TRUST,Reinsurance Group of America Inc
PROSHARES TRUST,South State Corp
PROSHARES TRUST,VTIP
PROSHARES TRUST,Vanguard ShortTerm InflationProtected Securities
PROSHARES TRUST,Vontier Corp
PROSHARES TRUST,Wells Fargo
PROSHARES TRUST,Wells Fargo  Co
PROSHARES TRUST,Wright Medical Group NV
PROSHARES TRUST,iShares
PROSHARES TRUST,iShares SP Global Clean Energy Index Fund
PROSHARES TRUST,iShares US Technology ETF
PowerShares FTSE,PowerShares FTSE RAFI US
PowerShares FTSE,Reinsurance Group of America Inc
PowerShares FTSE,South State Corp
PowerShares FTSE,VTIP
PowerShares FTSE,Vanguard ShortTerm InflationProtected Securities
PowerShares FTSE,Vontier Corp
PowerShares FTSE,Wells Fargo
PowerShares FTSE,Wells Fargo  Co
PowerShares FTSE,Wright Medical Group NV
PowerShares FTSE,iShares
PowerShares FTSE,iShares SP Global Clean Energy Index Fund
PowerShares FTSE,iShares US Technology ETF
PowerShares FTSE RAFI US,Reinsurance Group of America Inc
PowerShares FTSE RAFI US,South State Corp
PowerShares FTSE RAFI US,VTIP
PowerShares FTSE RAFI US,Vanguard ShortTerm InflationProtected Securities
PowerShares FTSE RAFI US,Vontier Corp
PowerShares FTSE RAFI US,Wells Fargo
PowerShares FTSE RAFI US,Wells Fargo  Co
PowerShares FTSE RAFI US,Wright Medical Group NV
PowerShares FTSE RAFI US,iShares
PowerShares FTSE RAFI US,iShares SP Global Clean Energy Index Fund
PowerShares FTSE RAFI US,iShares US Technology ETF
Reinsurance Group of America Inc,South State Corp
Reinsurance Group of America Inc,VTIP
Reinsurance Group of America Inc,Vanguard ShortTerm InflationProtected Securities
Reinsurance Group of America Inc,Vontier Corp
Reinsurance Group of America Inc,Wells Fargo
Reinsurance Group of America Inc,Wells Fargo  Co
Reinsurance Group of America Inc,Wright Medical Group NV
Reinsurance Group of America Inc,iShares
Reinsurance Group of America Inc,iShares SP Global Clean Energy Index Fund
Reinsurance Group of America Inc,iShares US Technology ETF
South State Corp,VTIP
South State Corp,Vanguard ShortTerm InflationProtected Securities
South State Corp,Vontier Corp
South State Corp,Wells Fargo
South State Corp,Wells Fargo  Co
South State Corp,Wright Medical Group NV
South State Corp,iShares
